Tidsstempel,bekræftelse,ID (navn),Alder,Køn,ma_nl_8,mi_nl_6,mi_l_2,mi_nl_5,mi_l_1,ma_l_3,ma_nl_7,ma_l_4
14/12/2021 11.26.27,Jeg bekræfter,214,23,Kvinde,2,0,3,4,-3,1,2,-3
14/12/2021 11.26.57,Jeg bekræfter,5,21,Kvinde,-2,-3,-1,1,2,-2,-3,2
14/12/2021 11.27.24,Jeg bekræfter,18,21,Kvinde,3,-2,-1,-1,2,3,3,3
14/12/2021 11.27.24,Jeg bekræfter,48,20,Kvinde,1,2,3,2,3,2,2,1
14/12/2021 11.27.30,Jeg bekræfter,78,20,Kvinde,4,2,-3,0,-2,3,5 (positiv),4
14/12/2021 11.27.36,Jeg bekræfter,62,21,Kvinde,4,-3,-4,3,-2,5 (positiv),3,5 (positiv)
14/12/2021 11.27.48,Jeg bekræfter,248,19,Mand,2,0,2,-3,-4,3,4,5 (positiv)
14/12/2021 11.27.52,Jeg bekræfter,41,21,Kvinde,0,1,1,1,2,1,1,-1
14/12/2021 11.28.19,Jeg bekræfter,150,21,Mand,4,-2,-3,1,2,2,3,-1
14/12/2021 11.28.27,Jeg bekræfter,67,20,Kvinde,3,-3,0,-1,2,4,3,4
14/12/2021 11.28.34,Jeg bekræfter,27,19,Kvinde,4,-4,-2,-1,1,3,3,5 (positiv)
14/12/2021 11.29.01,Jeg bekræfter,156,20,Mand,2,-2,-1,1,-4,3,2,3
14/12/2021 11.29.20,Jeg bekræfter,120,20,Kvinde,3,-2,1,3,3,4,2,4
14/12/2021 11.29.25,Jeg bekræfter,72,20,Mand,3,4,3,4,1,-1,0,5 (positiv)
14/12/2021 11.29.46,Jeg bekræfter,94,20,Kvinde,3,-3,1,0,-1,2,2,4
14/12/2021 11.29.50,Jeg bekræfter,158,21,Mand,3,-2,-3,-4,2,5 (positiv),3,4
14/12/2021 11.30.07,Jeg bekræfter,122,26,Mand,3,2,-1,3,-3,2,2,4
14/12/2021 11.30.09,Jeg bekræfter,16,20,Kvinde,4,-3,-2,1,-3,4,5 (positiv),5 (positiv)
14/12/2021 11.31.07,Jeg bekræfter,4,21,Kvinde,5 (positiv),0,3,2,3,5 (positiv),4,5 (positiv)
14/12/2021 11.31.08,Jeg bekræfter,43,21,Kvinde,2,1,2,0,1,1,0,1
14/12/2021 11.32.21,Jeg bekræfter,95,22,Kvinde,-1,1,4,0,3,5 (positiv),-1,1
14/12/2021 11.33.16,Jeg bekræfter,131,25,Mand,3,-1,-1,-1,-2,1,1,3
14/12/2021 11.33.51,Jeg bekræfter,15,20,Kvinde,3,-3,2,-2,3,4,-3,5 (positiv)
14/12/2021 12.43.12,Jeg bekræfter,Ms,24,Mand,5 (positiv),-4,0,1,-2,3,5 (positiv),5 (positiv)
14/12/2021 12.45.23,Jeg bekræfter,Oliver,33,Mand,5 (positiv),5 (positiv),5 (positiv),-5 (negativ),0,2,0,5 (positiv)
14/12/2021 16.24.03,Jeg bekræfter,amanda,23,Kvinde,2,-1,-1,-2,0,3,4,5 (positiv)
14/12/2021 19.55.53,Jeg bekræfter,Jolanta,52,Kvinde,5 (positiv),1,-3,0,0,4,5 (positiv),5 (positiv)
15/12/2021 16.08.47,Jeg bekræfter,PETER,25,Mand,4,-2,2,2,3,2,3,2
15/12/2021 18.11.21,Jeg bekræfter,Sofie,23,Kvinde,4,-2,-1,2,-1,2,3,4
16/12/2021 14.42.25,Jeg bekræfter,Andrea,22,Kvinde,-2,-3,0,-1,0,1,0,0
16/12/2021 18.48.54,Jeg bekræfter,Martyna,22,Kvinde,1,2,4,2,0,4,1,0
17/12/2021 20.30.23,Jeg bekræfter,Jonas,15,Mand,2,-2,-1,0,1,3,4,4
18/12/2021 12.54.41,Jeg bekræfter,Emma,20,Kvinde,-2,-1,2,-3,3,4,5 (positiv),5 (positiv)